id,nazivu,univerzitet,naziv,nivo,trajanje,polje,zvanje,skolarina,skolarina2,bs1,bs2,bs3,bs4,bs5,bs6,bs,ss1,ss2,ss3,ss4,ss5,ss6,ss,sss1,sss2,sss3,sss4,sss5,sss6,sss,studenata,zstudenata,espb_budzet,espb_samo
113,Висока школа струковних студија-Београдсак политехника,,Графичка технологија,Основне струковне,180,Техничко-технолошке науке,Струковни инжењер технологије,63000,600,29,6,10,,,,45,20,8,28,,,,56,0,0,0,,,,0,101,8,1171,1561
116,"В.ш.струк.студија за иформац.и комуникац.технологије, Београд",,Интернет технологије,Основне струковне,180,Техничко-технолошке науке,Струковни инжењер електротехнике и рачунарства,90000,1000,52,60,72,43,,,227,147,87,151,,,,385,0,0,0,,,,0,612,70,9682,7445
113,Висока школа струковних студија-Београдсак политехника,,Рециклажне технологије,Основне струковне,180,Техничко-технолошке науке,Струковни инжењер технологије,63000,600,26,6,3,,,,35,9,7,0,,,,16,0,0,0,,,,0,51,0,405,458
116,"В.ш.струк.студија за иформац.и комуникац.технологије, Београд",,Комуникационе технологије,Основне струковне,180,Техничко-технолошке науке,Струковни инжењер електротехнике и рачунарства,90000,1000,30,36,43,8,,,117,68,33,67,,,,168,0,0,0,,,,0,285,69,5027,4016
116,"В.ш.струк.студија за иформац.и комуникац.технологије, Београд",,Поштанско-логистички системи,Основне струковне,180,Техничко-технолошке науке,Струковни инжењер саобраћаја,90000,1000,32,36,43,9,,,120,71,26,48,,,,145,0,0,0,,,,0,265,75,6942,4589
113,Висока школа струковних студија-Београдсак политехника,,Заштита животне средине,Основне струковне,180,Техничко-технолошке науке,Струковни инжењер заштите животне средине,63000,600,71,16,8,,,,95,50,33,44,,,,127,0,0,0,,,,0,222,13,1668,2522
116,"В.ш.струк.студија за иформац.и комуникац.технологије, Београд",,Саобраћајно инжењерство,Спец. струковне,60,Техничко-технолошке науке,Специјалиста струковни инжењер саобраћаја,99000,1200,0,,,,,,0,59,,,,,,59,0,,,,,,0,59,34,0,1344
113,Висока школа струковних студија-Београдсак политехника,,Графичка производња,Спец. струковне,60,Техничко-технолошке науке,Специјалиста струковни инжењер технологије,95000,1000,0,,,,,,0,20,,,,,,20,0,,,,,,0,20,11,0,714
116,"В.ш.струк.студија за иформац.и комуникац.технологије, Београд",,Електронске комуникације,Спец. струковне,60,Техничко-технолошке науке,Специјалиста струковни инжењер електротехнике и рачунарства,99000,1200,0,,,,,,0,193,,,,,,193,0,,,,,,0,193,61,0,4061
113,Висока школа струковних студија-Београдсак политехника,,Оцењивање усаглашености производа,Спец. струковне,60,Техничко-технолошке науке,Специјалиста струковни инжењер менаџмента,95000,1000,0,,,,,,0,6,,,,,,6,0,,,,,,0,6,7,0,105
113,Висока школа струковних студија-Београдсак политехника,,Заштита на раду,Спец. струковне,60,Техничко-технолошке науке,Специјалиста струковни инжењер заштите на раду,95000,1000,0,,,,,,0,25,,,,,,25,0,,,,,,0,25,18,0,984
128,"Висока пословно-техничка школа струковних студија, Ужице",,Машинство,Спец. струковне,60,Техничко-технолошке науке,Специјалиста струковни инжењер машинства,69600,700,0,,,,,,0,3,,,,,,3,0,,,,,,0,3,1,0,0
142,Висока техничка школа струковних студија - Нови Сад,,Машинство,Основне струковне,180,Техничко-технолошке науке,Струковни инжењер машинства,68000,850,10,12,12,,,,34,30,36,36,,,,102,1,1,1,,,,3,139,20,917,1033
128,"Висока пословно-техничка школа струковних студија, Ужице",,Машинство ОС,Основне струковне,180,Техничко-технолошке науке,Струковни инжењер машинства,60000,600,39,11,23,,,,73,2,1,4,,,,7,0,0,0,,,,0,80,0,0,0
114,Висока пољо.прехрамбена школа струк. студија- Прокупље,,Ратарство и повртарство,Основне струковне,180,Техничко-технолошке науке,Струковни инжењер шумарства,40000,645,22,5,21,,,,48,2,2,1,,,,5,,,,,,,0,53,9,1775,130
